All quantities in meters
x_center 	 y_center 	 Width 	 Zt 	 Zb 	 Zt_err 	 Zb_err 	 Zb_rel_err 
2480000 	 6041000 	   20000 	   2066 	  18147 	    126 	   2269            	 0.13 
2473000 	 6023000 	   26000 	   2208 	   9306 	     94 	   1062            	 0.11 
2461000 	 6013000 	   30000 	   2442 	  22065 	     55 	   1243            	 0.06 
2461000 	 5995000 	   22000 	   2273 	  11213 	    441 	   2068            	 0.18 
2460000 	 6034000 	   26000 	   2165 	  22938 	     72 	   3748            	 0.16 
2520000 	 6005000 	   22000 	   4404 	   7394 	    489 	   1129            	 0.15 
2522000 	 6017000 	   26000 	   3185 	  12275 	    136 	   1885            	 0.15 
2477000 	 6058000 	   24000 	   2370 	   9821 	    223 	   1352            	 0.14 
2467000 	 5965000 	   30000 	   4214 	   7037 	    657 	   1655            	 0.24 
2491000 	 6018000 	   66000 	   3262 	   6822 	    472 	   1726            	 0.25 
2496000 	 6033000 	   72000 	   2763 	   7960 	    172 	    894            	 0.11 
2585000 	 6059000 	   36000 	   2978 	  12214 	    225 	   1865            	 0.15 
#2436000 	 5978000 	   64000 	   4431 	  15592 	    890 	   5873            	 0.38 
#2577000 	 6041000 	   26000 	   3149 	   4653 	    796 	   1590            	 0.34 
2494000 	 5985000 	   54000 	   2828 	  16878 	    143 	   4506            	 0.27 
2460000 	 5955000 	   30000 	   5478 	  11376 	   1124 	   3073            	 0.27 
2548000 	 6022000 	   58000 	   3290 	  11290 	    100 	   1242            	 0.11 
2549000 	 6095000 	   78000 	   3125 	   8212 	    282 	   2134            	 0.26 
2561000 	 6078000 	   52000 	   2929 	  13677 	    138 	   3360            	 0.25 
2428000 	 6103000 	   46000 	   4792 	  15230 	    434 	   4605            	 0.30 
2516000 	 6049000 	   42000 	   1780 	   7977 	    193 	   1523            	 0.19 
2440000 	 5994000 	   40000 	   2084 	  13810 	    178 	   4555            	 0.33 
2508000 	 6082000 	   36000 	   2810 	   8690 	    247 	   1931            	 0.22 
#2531000 	 5974000 	   84000 	   3818 	  21711 	    347 	   7592            	 0.35 
2458000 	 5972000 	   42000 	   3117 	  18093 	    152 	   4332            	 0.24 
2471000 	 5951000 	   22000 	   2519 	  16975 	    134 	   3033            	 0.18 
#2561000 	 6113000 	   26000 	   2510 	  10669 	    196 	   3881            	 0.36 
2533000 	 6078000 	   44000 	   2972 	   7052 	    264 	   1662            	 0.24 
#2540000 	 6109000 	   38000 	   3413 	   5761 	    734 	   1952            	 0.34 
2499000 	 5965000 	   70000 	   3163 	  10177 	    220 	   2448            	 0.24 
#2518000 	 5967000 	   68000 	   2918 	  11822 	    237 	   3905            	 0.33 
#2520000 	 5977000 	   62000 	   3047 	   9403 	    307 	   3072            	 0.33 
2532000 	 5988000 	   38000 	   3599 	   9937 	    254 	   2190            	 0.22 
