All quantity in meters
x_center	y_center	win width	Te	w rms
-24000.0	-24000.0	104000.0	5880.0	359.91292911
-48000.0	-24000.0	104000.0	5880.0	298.523638626
-72000.0	-24000.0	104000.0	5880.0	210.542650388
-96000.0	-24000.0	104000.0	5880.0	122.934745254
-120000.0	-24000.0	104000.0	5880.0	64.2064984304
-144000.0	-24000.0	104000.0	5880.0	54.086399244
0.0	-24000.0	104000.0	5880.0	381.111086407
24000.0	-24000.0	104000.0	5880.0	359.651819357
48000.0	-24000.0	104000.0	5880.0	297.993532027
72000.0	-24000.0	104000.0	5880.0	209.963820693
96000.0	-24000.0	104000.0	5880.0	122.637153551
120000.0	-24000.0	104000.0	5880.0	64.218347092
144000.0	-24000.0	104000.0	5880.0	54.1147016822
-24000.0	-48000.0	104000.0	5520.0	231.23726441
-48000.0	-48000.0	104000.0	5520.0	198.044088623
-72000.0	-48000.0	104000.0	5520.0	149.35549539
-96000.0	-48000.0	104000.0	5600.0	102.875773784
-120000.0	-48000.0	104000.0	5720.0	67.5614994561
-144000.0	-48000.0	104000.0	5720.0	52.5842733654
0.0	-48000.0	104000.0	5520.0	241.883083542
24000.0	-48000.0	104000.0	5520.0	230.934697025
48000.0	-48000.0	104000.0	5520.0	197.481813989
72000.0	-48000.0	104000.0	5520.0	148.763745851
96000.0	-48000.0	104000.0	5600.0	102.550902633
120000.0	-48000.0	104000.0	5720.0	67.4922622096
144000.0	-48000.0	104000.0	5720.0	52.5789167119
-24000.0	-72000.0	104000.0	5040.0	135.969111726
-48000.0	-72000.0	104000.0	5080.0	133.588188148
-72000.0	-72000.0	104000.0	5200.0	118.963137586
-96000.0	-72000.0	104000.0	5400.0	93.8744499051
-120000.0	-72000.0	104000.0	5560.0	61.53549027
-144000.0	-72000.0	104000.0	5560.0	42.1664345557
0.0	-72000.0	104000.0	5000.0	133.069427232
24000.0	-72000.0	104000.0	5040.0	135.669483549
48000.0	-72000.0	104000.0	5080.0	133.138920931
72000.0	-72000.0	104000.0	5200.0	118.461457058
96000.0	-72000.0	104000.0	5400.0	93.5052505942
120000.0	-72000.0	104000.0	5560.0	61.3860297766
144000.0	-72000.0	104000.0	5560.0	42.1266170088
-24000.0	-96000.0	104000.0	4880.0	114.031135592
-48000.0	-96000.0	104000.0	5040.0	109.337442153
-72000.0	-96000.0	104000.0	5200.0	91.1896850055
-96000.0	-96000.0	104000.0	5320.0	65.1300612381
